request_id,timestamp,latency_sec,bytes_sent,http_status,outcome,error_type
70,13:21:55.915842,2.094,0,0,failed,ConnectionRefusedError
77,13:21:55.916375,2.0934,0,0,failed,ConnectionRefusedError
81,13:21:55.916986,2.0933,0,0,failed,ConnectionRefusedError
92,13:21:55.917591,2.0924,0,0,failed,ConnectionRefusedError
94,13:21:55.918239,2.0928,0,0,failed,ConnectionRefusedError
101,13:21:55.918742,2.0925,0,0,failed,ConnectionRefusedError
79,13:21:55.919340,2.096,0,0,failed,ConnectionRefusedError
93,13:21:55.919925,2.0946,0,0,failed,ConnectionRefusedError
82,13:21:55.920588,2.0968,0,0,failed,ConnectionRefusedError
100,13:21:55.921198,2.095,0,0,failed,ConnectionRefusedError
102,13:21:55.921690,2.0953,0,0,failed,ConnectionRefusedError
88,13:21:55.922398,2.0978,0,0,failed,ConnectionRefusedError
90,13:21:55.922904,2.0981,0,0,failed,ConnectionRefusedError
99,13:21:55.923456,2.0974,0,0,failed,ConnectionRefusedError
109,13:21:55.924082,2.0967,0,0,failed,ConnectionRefusedError
87,13:21:55.924576,2.1001,0,0,failed,ConnectionRefusedError
107,13:21:55.928222,2.098,0,0,failed,ConnectionRefusedError
108,13:21:55.928720,2.1016,0,0,failed,ConnectionRefusedError
98,13:21:55.929121,2.1033,0,0,failed,ConnectionRefusedError
75,13:21:55.929622,2.107,0,0,failed,ConnectionRefusedError
96,13:21:55.930003,2.1045,0,0,failed,ConnectionRefusedError
110,13:21:55.930428,2.103,0,0,failed,ConnectionRefusedError
114,13:21:55.930880,2.103,0,0,failed,ConnectionRefusedError
97,13:21:55.931340,2.1056,0,0,failed,ConnectionRefusedError
112,13:21:55.931729,2.1041,0,0,failed,ConnectionRefusedError
103,13:21:55.932250,2.1057,0,0,failed,ConnectionRefusedError
111,13:21:55.932605,2.1051,0,0,failed,ConnectionRefusedError
105,13:21:55.932919,2.1063,0,0,failed,ConnectionRefusedError
80,13:21:55.933326,2.11,0,0,failed,ConnectionRefusedError
113,13:21:55.933726,2.106,0,0,failed,ConnectionRefusedError
119,13:21:55.934136,2.1056,0,0,failed,ConnectionRefusedError
104,13:21:55.934508,2.108,0,0,failed,ConnectionRefusedError
121,13:21:55.934732,2.1061,0,0,failed,ConnectionRefusedError
116,13:21:55.934989,2.107,0,0,failed,ConnectionRefusedError
122,13:21:55.935277,2.1064,0,0,failed,ConnectionRefusedError
118,13:21:55.935565,2.1073,0,0,failed,ConnectionRefusedError
89,13:21:55.935827,2.1113,0,0,failed,ConnectionRefusedError
120,13:21:55.935979,2.1075,0,0,failed,ConnectionRefusedError
130,13:21:55.936227,2.1063,0,0,failed,ConnectionRefusedError
115,13:21:55.936396,2.1086,0,0,failed,ConnectionRefusedError
128,13:21:55.936568,2.107,0,0,failed,ConnectionRefusedError
127,13:21:55.936720,2.1074,0,0,failed,ConnectionRefusedError
123,13:21:55.936866,2.108,0,0,failed,ConnectionRefusedError
95,13:21:55.937023,2.1118,0,0,failed,ConnectionRefusedError
129,13:21:55.937198,2.1075,0,0,failed,ConnectionRefusedError
126,13:21:55.937392,2.1081,0,0,failed,ConnectionRefusedError
135,13:21:55.937643,2.1072,0,0,failed,ConnectionRefusedError
137,13:21:55.937977,2.1072,0,0,failed,ConnectionRefusedError
138,13:21:55.938226,2.1074,0,0,failed,ConnectionRefusedError
134,13:21:55.938400,2.1081,0,0,failed,ConnectionRefusedError
106,13:21:55.938604,2.1119,0,0,failed,ConnectionRefusedError
136,13:21:55.938822,2.1083,0,0,failed,ConnectionRefusedError
125,13:21:55.939076,2.1099,0,0,failed,ConnectionRefusedError
139,13:21:55.939285,2.1084,0,0,failed,ConnectionRefusedError
117,13:21:55.939492,2.1114,0,0,failed,ConnectionRefusedError
131,13:21:55.939671,2.1097,0,0,failed,ConnectionRefusedError
132,13:21:55.939897,2.1098,0,0,failed,ConnectionRefusedError
124,13:21:55.942422,2.1114,0,0,failed,ConnectionRefusedError
142,13:21:55.942715,2.1114,0,0,failed,ConnectionRefusedError
